name,lng,lat
爱国新村(公交站),118.364511,31.313102
安得物流(公交站),118.402960,31.458941
安得物流(对侧),118.403170,31.459006
安徽工程大学(公交站),118.408211,31.335339
安徽工程大学(对侧),118.407909,31.335138
安徽工程大学北(公交站),118.419158,31.344436
安徽工程大学北(对侧),118.418848,31.344276
安康路(公交站),118.458654,31.353269
安康路星耀路(公交站),118.461059,31.349987
安澜路赤铸山路(公交站),118.446450,31.353498
安澜路赤铸山路(对侧),118.445824,31.353401
安澜路赤铸山路北(公交站),118.447821,31.359160
安澜路赤铸山路北(对侧),118.448138,31.359336
安澜路神山路(公交站),118.447182,31.345285
鞍山路(公交站),118.364028,31.426931
鞍山路(对侧),118.363873,31.426757
奥体中心(公交站),118.378650,31.311389
奥体中心(南行)(公交站),118.378650,31.311389
奥体中心下客点(公交站),118.379148,31.309722
奥体中心南(公交站),118.379362,31.305790
奥体中心南(对侧),118.378816,31.305887
奥韵康城(公交站),118.387016,31.312527
奥韵康城(对侧),118.386840,31.312383
八佰伴(公交站),118.367013,31.341264
八佰伴(对侧),118.367060,31.341472
八佰伴南(公交站),118.367452,31.339905
八佰伴南(对侧),118.366959,31.339724
笆斗街(公交站),118.389608,31.317535
笆斗街(对侧),118.390110,31.317653
百蕊山庄(公交站),118.393365,31.316180
百蕊山庄(对侧),118.392892,31.316046
柏庄春暖花开(公交站),118.383397,31.285668
柏庄春暖花开(对侧),118.382853,31.285572
柏庄观邸(公交站),118.429184,31.348633
柏庄观邸(对侧),118.428819,31.348509
柏庄丽城(公交站),118.381858,31.290916
柏庄丽城(对侧),118.382000,31.290720
柏庄香府(公交站),118.436589,31.345252
柏庄香府(对侧),118.437112,31.345148
北京东路1号站(公交站),118.487091,31.321697
北京东路1号站(对侧),118.486789,31.321700
北京东路口(公交站),118.488763,31.316298
北京东路口(对侧),118.489189,31.316379
北京中路(公交站),118.421706,31.335352
北京中路(对侧),118.422151,31.335275
北门(公交站),118.378889,31.323595
北塘小学(公交站),118.390366,31.325884
北塘小学(对侧),118.389849,31.326025
滨江公园(公交站),118.358323,31.339619
滨江公园(对侧),118.358000,31.339420
滨江新居(公交站),118.366620,31.445288
滨江新居(对侧),118.367152,31.445425
冰冻街口(公交站),118.361927,31.332448
冰冻街口(对侧),118.362149,31.332273
博览中心·中医医院(公交站),118.380803,31.294076
博览中心·中医医院(对侧),118.381102,31.294257
博览中心北(公交站),118.377969,31.298277
博览中心北(对侧),118.378145,31.298430
博览中心南(公交站),118.379379,31.292799
博览中心南(对侧),118.378856,31.292669
卜家店(公交站),118.432843,31.333108
卜家店(对侧),118.433149,31.332973
卜家店北(公交站),118.434266,31.335117
卜家店北(对侧),118.433850,31.334974
仓津路黄山东路(公交站),118.389731,31.328819
仓津路黄山东路(对侧),118.390018,31.328621
仓津路乌霞山东路(公交站),118.391259,31.300100
仓津路乌霞山东路(对侧),118.390842,31.300219
仓津路宣春路(公交站),118.389971,31.329888
仓津路宣春路(对侧),118.390149,31.330027
曹家山(公交站),118.389115,31.335595
曹家山(对侧),118.388789,31.335600
巢湖路(公交站),118.393313,31.458752
巢湖路(对侧),118.392823,31.458702
城东公交枢纽(公交站),118.473532,31.349051
城东公交枢纽(对侧),118.474083,31.348935
城东小区(公交站),118.424080,31.344431
城东小区(对侧),118.423844,31.344279
赤铸山立交东(公交站),118.406476,31.357365
赤铸山立交东(对侧),118.405849,31.357525
赤铸山路安澜路(公交站),118.445625,31.354782
赤铸山路安澜路(对侧),118.446211,31.354800
赤铸山路海晏路(公交站),118.442474,31.354583
赤铸山路海晏路(对侧),118.441868,31.354741
赤铸山路河清路(公交站),118.437500,31.355378
赤铸山路河清路(对侧),118.436820,31.355307
赤铸山路鸠江北路(公交站),118.417206,31.357160
赤铸山路鸠江北路(对侧),118.416850,31.356973
赤铸山路梦溪路(公交站),118.480846,31.351545
赤铸山路梦溪路(对侧),118.481160,31.351617
赤铸山路云从路(公交站),118.420258,31.357487
赤铸山路云从路(对侧),118.419834,31.357389
赤铸山路中江大道(公交站),118.431819,31.356944
赤铸山路中江大道(对侧),118.432211,31.356900
赤铸山西路(公交站),118.360507,31.360584
赤铸山西路(对侧),118.360890,31.361212
崇文学校(北门)(公交站),118.396337,31.362587
崇文学校(西门)(公交站),118.393689,31.360735
春江路口(公交站),118.481354,31.324028
春江路口(对侧),118.480833,31.323890
祠山(公交站),118.505314,31.344722
祠山(对侧),118.504828,31.344596
萃文中学(公交站),118.370335,31.292059
萃文中学(对侧),118.369875,31.291955
大富新村(公交站),118.374191,31.363989
大富新村(对侧),118.373840,31.363883
大工山路东(公交站),118.400226,31.294058
大工山路东(对侧),118.399843,31.294220
